id,wikipedia_id,url,question,correct,wrong1,wrong2,wrong3,wrong4,wrong5
56c0706e-ad07-4ad0-9128-86e16b734f80,746445,https://simple.wikipedia.org/wiki/Fernando%20Eid,When was Fernando Eid born?,20 June 1992,19 June 1993,21 June 1991,20 July 1990,22 September 1991,25 May 1990
629bcacf-0c6d-4594-bb47-f48d3796c53a,383149,https://simple.wikipedia.org/wiki/Zbrasov%20aragonite%20caves,What is the altitude range of the Zbrašov aragonite caves?,250–310 meters above sea level.,200–300 meters above sea level.,300–350 meters above sea level.,150–250 meters above sea level.,100–200 meters above sea level.,600–700 meters above sea level.
c3fb282d-0de4-4d5f-87cf-83dbce5e6c12,48120,https://simple.wikipedia.org/wiki/Bremerhaven%20Hauptbahnhof,When was the new station opened?,1914,1910,1920,1900,1918,1924
8493fdeb-cb7a-4bd9-9dd9-8c6a75ac21d0,565684,https://simple.wikipedia.org/wiki/Deck%20%28ship%29,What does a Flush deck refer to?,An unbroken deck from stem to stern,A deck with many levels on top,A partially enclosed deck area,A deck primarily for passenger access,A deck that stores coconuts,A deck only for military personnel
52c91fe6-7f9d-4054-ac38-08c4b9e8ff05,482637,https://simple.wikipedia.org/wiki/Transmission%20medium,What is a characteristic of coaxial cables?,They are used to connect devices.,They are only used for audio signals.,They contain only one wire.,They cannot be used in networks.,They are not suitable for electricity.,They are exclusively for video transmission.
afa53c24-a8c7-4c5c-88dc-5942828840f4,380517,https://simple.wikipedia.org/wiki/Mrs.%20Winterbourne,What role did Brendan Fraser play?,Bill / Hugh Winterbourne,Father Brian Kilraine,Paco,Steve DeCunzo,Lieutenant Ambrose,Renee
819a1dac-46eb-4613-b0de-f33eae48f55a,15095,https://simple.wikipedia.org/wiki/Sublime,How many albums did Sublime sell worldwide?,Over 8 million,Under 5 million,Around 10 million,About 7 million,Approximately 6 million,Nearly 12 million
94b4bd99-85ad-4e91-8c6f-2ae2828359c9,127687,https://simple.wikipedia.org/wiki/Google%20Chrome,What layout change was made to the tabs in Google Chrome?,Tabs are placed at the top of the window,Tabs are placed below the address bar,Tabs are removed entirely for a clean view,Tabs are displayed as icons only,Tabs are side-mounted on the window,Tabs are placed behind settings menu
c226e337-21b2-449d-baa4-8f4b7ae1cd1c,605025,https://simple.wikipedia.org/wiki/Joe%20Brown%20%28climber%29,In which year did Joe Brown pass away?,2020,2019,2021,2018,2022,2017
682e99a4-9439-4be5-8f02-fe9b09b23875,856439,https://simple.wikipedia.org/wiki/Ask%20and%20Embla,Which god is associated with feelings?,Lodur,Odin,Henir,Thor,Freyr,Tyr
8b3f803a-e435-444d-8900-0ebac2e42c2c,527244,https://simple.wikipedia.org/wiki/German%20Academic%20Exchange%20Service,How many international regional branch offices does the German Academic Exchange Service have?,15,10,20,25,5,12
484049af-265d-4b38-89ff-7bf0c902cbd3,302532,https://simple.wikipedia.org/wiki/Molecular%20orbital,What does LCAO stand for in molecular orbital theory?,Linear combinations of atomic orbitals,Linear computations of atomic orbitals,Lateral combinations of atomic orbitals,Linear constructions of atomic orbitals,Localized combinations of atomic orbitals,Latent combinations of atomic orbitals
f0769278-6253-4cdd-90c1-9e6a9c8d97eb,105047,https://simple.wikipedia.org/wiki/Mount%20Batur,How long ago did the original eruption occur?,"About 30,000 years ago","About 10,000 years ago","About 20,000 years ago","About 40,000 years ago","About 50,000 years ago","About 15,000 years ago"
4f1392a7-4d01-4e81-afff-dc71b96a525f,374226,https://simple.wikipedia.org/wiki/Tomb%20of%20Nicanor,What is the intended purpose of the Tomb of Nicanor according to the plan?,A national pantheon for the Jewish people,A historical site for archaeological exhibitions,A memorial park for ancient civilizations,A museum dedicated to ancient architecture,A pilgrimage site for tourists visiting Jerusalem,A cultural center for Jewish arts and literature
033d67dd-30fb-4295-94e8-a9d2110c4717,564477,https://simple.wikipedia.org/wiki/Jason%20Kander,What role did Jason Kander have before becoming Secretary of State?,State representative,City council member,State senator,Attorney General,Lieutenant Governor,Public defender
8a7e815f-c1ae-49fa-a78c-c588f4638986,10291,https://simple.wikipedia.org/wiki/Eminem,What year did Eminem release his album Recovery?,2010,2009,2011,2008,2007,2012
314678e8-08b8-4232-8aae-b767ea84aacd,45834,https://simple.wikipedia.org/wiki/Australian%20English,What two words represent the sound that is pronounced the same in Australian English?,whales and Wales,where and wear,which and witch,weather and whether,who and two,what and that
1723f3d9-693d-4275-ba03-40f51315a284,768490,https://simple.wikipedia.org/wiki/Clifton%2C%20Arizona,Which district was previously in charge of Clifton's schools?,Clifton Unified School District,Morenci Unified School District,Greenlee Unified School District,Arizona School District,Clifton School Network,Greenlee County Schools
95a191d4-bab9-4312-a1ae-ec138a6cf5c4,283563,https://simple.wikipedia.org/wiki/2012%20Formula%20One%20World%20Championship,What will happen to drivers in the pit lane when a race is suspended?,They can return to the circuit at their previous grid position,They must remain in the pit until the race resumes,They are disqualified from the race,They must rejoin at the back of the grid,They are given a time penalty,They must switch to the spare car
13e781c5-d64b-4f33-8e8e-58cedb543c87,208239,https://simple.wikipedia.org/wiki/Wavelet%20transform,Which domain of study frequently utilizes wavelet transforms?,Digital signal processing,Quantum mechanics,Thermodynamics,Structural engineering,Biochemistry,Behavioral psychology
e3572c5c-7927-40f1-877f-89b8a1fc22ef,391605,https://simple.wikipedia.org/wiki/Adler%20Planetarium%20%26%20Astronomy%20Museum,What type of facility is the Adler Planetarium?,Astronomy Museum,Science Center,Natural History Museum,Aquarium,Planetary Research Facility,Observatory
248aaa44-dd51-4862-82a5-3ed4a7b064e8,5721,https://simple.wikipedia.org/wiki/D,"In Roman numerals, what number does D represent?",500,100,1000,50,250,150
ae111a3b-43b1-4339-a687-ecb75a4b90c6,644050,https://simple.wikipedia.org/wiki/Government%20Schools%20Teachers%20Association%20%28GSTA%29,Who is the current General Secretary of the Government School Teachers Association?,Ajay Veer Yadav,Rajbir Singh Chhikara,Vinod Kumar,Sanjay Verma,Rohit Mehta,Sunil Bansal
dc098bd3-3a0a-4cf2-b0b4-891bb36b47b2,753900,https://simple.wikipedia.org/wiki/Knock%20Down%20the%20House,What type of movie is Knock Down the House?,It is a documentary movie.,It is a drama movie.,It is a comedy movie.,It is a horror movie.,It is an animated movie.,It is a romance movie.
92e300c9-d4ee-46bb-b319-052aac526a06,826024,https://simple.wikipedia.org/wiki/Ela%20Bhatt,For how long was Ela Bhatt the general secretary of the organization she founded?,From 1972 to 1996,From 1970 to 1995,From 1972 to 1995,From 1971 to 1996,From 1972 to 1990,From 1973 to 1996
79602bdd-b8e8-4131-b59d-5d565af6cb21,810786,https://simple.wikipedia.org/wiki/Stephanie%20Beacham,Which soap opera did Stephanie Beacham not appear in?,Days of Our Lives,The Colbys,Dynasty,EastEnders,General Hospital,As the World Turns
7e78d0ab-f2d2-4ad0-b729-92de5c78373a,1015100,https://simple.wikipedia.org/wiki/Barbara%20Pravi,What is the birth name of the artist better known as Barbara Pravi?,Barbara Piévic,Barbara Petrovic,Barbara Pravec,Barbara Pievic,Barbara Prižić,Barbara Pavić
6864f34c-69cf-4ef0-9887-755bc1e0cd32,233525,https://simple.wikipedia.org/wiki/Sparrowhawk,Why do smaller male Sparrowhawks have a high death rate shortly after leaving the nest?,They need to eat more often,They are more aggressive,They catch larger prey,They fly lower,They have poorer eyesight,They are too social
353d059d-77ef-4101-a392-f7027abfc890,84904,https://simple.wikipedia.org/wiki/Coachella%20Valley%20Music%20and%20Arts%20Festival,How many days does the Coachella festival typically last?,Three days,Two days,Four days,Five days,One day,Six days
